Date,V_Price,MA_Price,Beta,Spread,Z-Score,Position
2022-12-28,337.42425537109375,201.49322509765625,1.6746426643049293,-0.004895945838143234,-1.384479218994223,1.0
2022-12-29,343.6014099121094,204.5108184814453,1.680100594342152,0.0026622320331171068,0.47822859085398794,0.0
2023-01-06,363.3927001953125,214.0355224609375,1.6977604985121424,0.011644882724397121,2.87224874024429,-1.0
2023-01-10,366.69378662109375,217.3185577392578,1.687396162117543,-0.008713665049583597,-2.066274564239814,1.0
2023-01-11,373.4640808105469,218.31134033203125,1.7106461477298303,0.010627465821698934,2.0080584976337903,-1.0
2023-01-12,375.3913879394531,219.80538940429688,1.7078410246225804,-0.0012735183465224509,-0.37773082695781596,0.0
2023-01-13,371.1513366699219,219.25491333007812,1.6928157721823813,-0.006838743715434248,-1.375623858467934,1.0
2023-01-30,366.8024597167969,225.19190979003906,1.6288365843502401,0.0016385510822374272,0.33066667686555223,0.0
2023-03-03,357.29443359375,220.38363647460938,1.6212542394102907,-0.003471337366818261,-1.0381443760644253,1.0
2023-03-13,340.6997375488281,211.22439575195312,1.6129724024016827,0.0006164869565168374,0.2967598574750179,0.0
2023-03-14,348.71539306640625,215.35098266601562,1.6192750485478886,0.0029201550582911295,1.1482527927038366,-1.0
2023-03-16,343.95147705078125,214.15928649902344,1.6060726904056573,-0.003904392061258477,-1.302002989229021,1.0
2023-03-17,345.5921936035156,214.10018920898438,1.614143515776242,0.0037614653669493237,1.655574248623593,-1.0
2023-03-20,345.256103515625,214.84869384765625,1.6069887149743203,-0.0033229245312895728,-1.279277256731132,1.0
2023-03-27,350.4944152832031,218.45330810546875,1.6044196322685884,0.0036390247703366185,1.6399152074292744,-1.0
2023-04-03,362.20660400390625,225.53451538085938,1.6060146175336325,-0.0051244561177554715,-1.7091647144032622,1.0
2023-04-13,365.9227600097656,229.1686553955078,1.5967390426060775,0.0002205982203804524,0.2223392030038708,0.0
2023-04-19,369.04095458984375,229.0504913330078,1.6111599095760176,0.003985685412487783,1.4712008690482106,-1.0
2023-04-26,363.06195068359375,224.69735717773438,1.6157773367298176,0.0010533327255188851,0.4148465888237753,0.0
2023-04-27,369.90228271484375,225.54434204101562,1.6399948816015522,0.010716193388361717,2.975960523583482,-1.0
2023-05-01,376.0298156738281,228.99134826660156,1.6421120771809472,0.0003571152933545818,-0.05235487257484481,0.0
2023-05-02,372.23846435546875,223.54507446289062,1.665114719543511,0.010270385859371345,2.4033766836987365,-1.0
2023-05-03,371.1198425292969,222.56019592285156,1.6674984135943536,0.0010688986933473643,-0.08899787209200058,0.0
2023-05-05,380.78143310546875,228.27244567871094,1.66811531425513,-0.0033293536612291064,-1.210602735868505,1.0
